,sentence,labels,ranges
690,"although we don't allow bell ringers or the placement of kettles outside of our stores, we support the work of the salvation army in many ways throughout the year. for more information about our partnership, please visit this link: . thanks.",,
691,"“...or remain on the line to be transferred. goodbye.” aaaand click. thanks so much,",,
692,"hey andy, r u in the usa or overseas? - shariel","andy, shariel","[[4, 8], [40, 47]]"
693,the even more speed line is a special tsa line so that you can get through the security process faster.,,
694,how do you get it if you are a sponsored partner?,,
695,hey why can't i preorder la noire in the us? what's the point of amazon prime if i can't use the sole reason i purchased it?,,
696,that's great news. can't complain for the sale price we paid. you do get spoilt sometimes! look forward to trying the new aircraft ✈👍,,
697,"we're truly sorry to hear this. if you can share more about your experience, we're listening. please send a private message. ~ angel",angel,"[[127, 132]]"
698,why the heck isn't my nfl network hd channel working bruh???,,
699,who wants my delay claim? delay means missing connection but delays turn it from 45 mins to 1hr+,,
700,"hi, could you dm us the reservation code, please? we'll check the refund status for you. normally, refunds may take 10 - 15 banking days 1/2",,
701,very frustrating because we are getting mixed messages here -,,
702,so..... fixed the “i” glitch (barely) and now when i try to type “it” i get “i.t” ...........please make it stop. 🙄,,
703,let's take a closer look. please reach out with the details at so we can connect.,,
704,oh dear tim - sorry about this! ^ e,tim,"[[8, 11]]"
705,"also, why do my airpods suddenly stop playing music after being connected for awhile?",,
706,how do i send the problem to the supervisor?,,
707,"hi, brogan. we'd like to know more. are you referring to fall creators update? tried any troubleshooting steps?",brogan,"[[4, 10]]"
708,"apologies for tweeting back here, the forum only supports the premium customers.",,
709,"hello, we know your time is valuable. pls send us the street/city of the financial center so we can share your feed back. ^ nw",,
710,"we're here to help. send us a dm with your iphone's current ios version, and we'll take a closer look into this together.",,
711,"hola. lamentamos las molestias. nos comentarías, ¿ya has realizado las revisiones necesarias: ¿has contactado a tu banco, para verificar el motivo por el cuál el paga está siendo rechazado? ^ hc",,
712,i recently purchased a refurbished iphone 5s model a1533 from the local retail store. i'd like to exchange it for a equivalent iphone 5s model a1453. is that possible?,,
713,please don’t provide your order details as its personal information. our twitter page is visible to public. 2/2 ^ rs,,
714,feel free to dm us for assistance!,,
715,i'm not at the station yet though. i've got an 18.30 ticket but i can't be late or will incur huge costs. want to get 17.30 instead,,
716,we're sorry for the trouble you've been having! has this been a recurring issue with a particular courier? ^ wm,,
717,hey there! i can definitely help you out with this! may i have you send me a dm? - d,,
718,trying to accept an owner invitation to an azure account but getting 500 errors when clicking confirmation in email.,,
719,why’s it november 15th and still hasn’t fixed its damn question mark box self,,
720,"hi there, i've spoke to the surrounding stores in that area and they don't have these knives i'm afraid. - janay",janay,"[[107, 112]]"
721,i'm sorry you didn't receive your package! we'd like to look into this with you. please contact us here ^ kh,,
722,your sometimes means 15day..shame on u...are u really working.,,
723,so £7 to post but we could pick it up from a self service machine still not showing the id card. bow brickhill has no office or machine!,,
724,thanks a lot sorry just seemed so indirect it has been fixed thanks,,
725,"i have food coming, i'll stop down on my way to pick it up.",,
726,"hi sarah, i'm really sorry you received such poor service from my colleague. i would like to investigate this. 1/2",sarah,"[[3, 8]]"
727,me too 👍,,
728,thank you for your loyalty! 😊 *hdv,,
729,"reason why sucks asshole: even after paying $200 for my phone, my lte is slow as fuck and my calls keep dropping",,
730,"your feedback is important to us. please dm your name and zip code, so that we can make sure that it is shared for future consideration. ^ ty",,
731,let's try the solution provided by amit(kumar) on this link: let us know how it turns out.,,
732,nan,,
733,have to submit the form here: with requested details. 2/2 ^ mj,,
734,in downtown tulsa for thanksgiving and i have edge service. little disappointed.,,
735,"thank you for your feedback, i will get it forwarded on for you. apologies for the disruption this morning",,
736,thanks for reaching out. would you please send us your account info so i can look into this for you? - jv,,
737,"apparently, their support staff is having the same loading error. looking for a response here",,
738,one - day delivery refers to the transit time once the item ships. some items may be unavailable to ship immediately. (1/2) ^ sa,,
739,just bought a zinger box meal and the chicken is raw and still pink. i feel sick and could not eat anymore.,,
740,thank you very much. y'all were a great help. 👍,,
741,nan,,
742,what they offer they offer nothing instead of saying that u will not get any refund and replacement,,
743,sorry to hear about the technical problems you are facing with your system. please dm us a brief description of the issues/1,,
744,"been with you 15 years, i'm distraught!",,
745,oh yeah i forget to tell y’all after my fiasco with they gave me a $5 credit even though i paid they uber driver $15 😕,,
746,here are some tips if alexa does not understand or respond to your requests: if you're still having trouble with responses please let us know! ^ tg,,
747,that’s not what your twitter said last night 😩,,
748,"my line is blocked, puk can you help pliz",,
749,"hi henar, we do not have access to our customer service cases unfortunately. customer services aim to respond in 20 working days but you can call 0845 6000 650 for an update on your case ^ jm",,
750,thanks but it’s now the issue of how do i get home if your driver is saying he can’t find me? do they not have the same map we do?,,
751,thanks for following up. audio is back 👍🏼,,
752,more great finds! i see a movie night in your future. 🍿 🎥 - pia,,
753,thank you it is a regular problem. it is forest hill london se23 your staff work very hard. you just need a few more,,
754,here’s what you can do to work around the issue until it’s fixed in a future software update:,,
755,"so a host can blatantly lie, awesome. guess i'll have to start looking into other services going forward.",,
756,"sorry for this experience, jeff! we have since restored the nlcs feed on tbs:",jeff,"[[27, 31]]"
757,hi emma 👋 check out our roaming info here: we hope this helps 👍,emma,"[[3, 7]]"
758,"well, it kicked me out of psn, and says i need to sign in, yet when i try, an error message occurs. error: (su - 35931 - 1)",,
759,"hi, we've got you covered. thank you^ ftolu",,
760,hey kevin! which device/os are you using? can you let us know if you want to play music files stored on your computer? /ym,kevin,"[[4, 9]]"
761,as long as they are easy then yes! i'm not quite a michelin star quality chef yet 😀,,
762,"so thanks to the pixel and , i now own 4 home mini's and paid $8 total. we're kind of scratching our heads on what to do with them all. i setup 3 of them and broadcasting was pretty amusing.",,
763,we're here to help. we just sent you a dm.,,
764,it got sluggish after the 11.0.3 update. i'm using an iphone 6 so i assumed the hardware was just running behind.,,
765,"that’s right they don’t fix things, for me they never gave call back they promised. after weeks of chasing i gave up",,
766,"on hold with , ""we expect the waiting time to be 4 - 6 minutes"" 40 minutes ago. luckily it's a freephone number.",,
767,when they pour you a drink in first class on they really pour you a drink! nice work aa.,,
768,"hi matt, 😕 have you left us to join ee? when did you do this? have you contacted ee about this?",matt,"[[3, 7]]"
769,we are happy to look into this. please dm the tracking number &amp; delivery address so we can ensure everything is flowing smoothly. ^ jl,,
770,im assuming this order wont be honored then eh?,,
771,"tina in your chichester store so helpful it was incredible, wonderful service and all with a smile. thank you",tina,"[[0, 4]]"
772,i can definitely help check on the status of your services. could you please dm me your address and phone number to proceed? - nfm,,
773,最近ナビのsdカード調子悪いから新しいの買った〜。夜中に注文して今日には届くんだからamazonすごい👏🏽ネットショッピング大好き🤤❤️,,
774,pretty full here in coach a,,
775,"yes, that is the one. since introducing the pilot of the ‘wooden spoon’ and new menu a while back - has rapidly gone down hill",,
776,"hi, there. thank you for reaching out to us regarding the recent service visit. i am glad to hear everything went well. we appreciate the feedback regarding recent experience and will certainly pass that along. how are the services working? - lt",,
777,when is the next train to paddington from bristol parkway?,,
778,"we ask passengers arrive with ample time to check in. we're sorry your flight was missed, but we're unable to offer anything further.",,
779,is this for your landline service or cellular? we would like to help. ^ kmg,,
780,drop me a dm to discuss this,,
781,11.0.3(15a432),,
782,my flight for 15th nov got rescheduled and the new timing is absolutely inconvenient. i got no response frm customer care,,
783,(2/2)なお、amazonマーケットプレイスの出品者が販売、発送する商品の場合、以下リンクをご参照のうえ直接出品者へお問い合わせくださいますようお願いいたします。 hm,,
784,mhmmmm,,
785,funny how recent adverts depict a woman arriving at work calm and relaxed after choosing a train over her car. as if hahahaha,,
786,so this month's bill higher than last month and i still can't use o2 signal??,,
787,"thank you for the feedback, mimi. we will handle this internally once we get the inflight reports. thanks in advance. *hfg",,
788,i'm sorry to hear this! have you tried reaching out to ups directly to see if they have a pickup option available? ^ kp,,
789,this is not first time i am facing it my alternative no is 9570250444 and 9031725686,,
790,...travels. *ajz 2/2,,
791,i did send you guys a dm,,
792,that is rather excessive. please leave packaging feedback here: ^ tr,,
793,"if you change your mind, and would like to share more details about your concerns, feel free to reach out to us. ^ ca",,
794,hello i would like to look into the matter for you. can you please dm us your order information? - nick,nick,"[[99, 103]]"
795,"hey john! i have a recording of your people, t - mobile, lying and giving us the run a round, refused. pass between coworkers and laughing...11th person, number one, rusty, two mary, three marie, four calethia, five mike, six april(her badge is 156918), seventh joe.","john, rusty, mary, marie, calethina, mike, april, joe","[[4, 8], [166, 171], [177, 181], [189, 194], [216, 220], [226, 231], [262, 265]]"
796,appreciate if could go through terms and conditions thanks - sha,,
797,"i tried many of those things, hours ago, thanks to the suggestion of my internet provider, and still nothing, i prefer getting the refund",,
798,we understand where you're coming from. we checked all the songs currently under this artist and confirmed that they are his. some of them he's done in collaboration with other artists. hope this clears things up /jp,,
799,i dont want no options. should have had the phone nov 3. unless the phones here today your options dont mean shit. im cancelling,,
800,"sorry for the trouble caused.please dm us your idea &amp; alternate nos so we can look into it. regards, shweta",,
801,okay cool. deleting the tweet then. and thanks for the link,,
802,"hi, danielle! thanks for reaching out, i'd like to help. what's the printer model? click the link below to send us a direct message. ^ senan","danielle, senan","[[4, 12], [135, 140]]"
803,plzzz get this train moving it’s boiling hot packed and i want to go home 😤,,
804,what's happening here 👇👇👇,,
805,hello. i am sorry for the busy conditions. we are introducing new trains with more capacity to this route. - jordan,jordan,"[[109, 115]]"
806,we sincerely apologies for the inconvenience caused. we are dealing with the issue and working towards resolving.^ wo,,
807,"turn your phone off, leave it for a few seconds then turn it back on ☺",,
808,all of our available jobs are at this site is updated as jobs become available. ^ el,,
809,"non, je ne trouve pas où sont les coordonnées pour les joindre",,
810,merci :d,,
811,i'm sorry to hear about the used product that you received. we'd like to take a closer (1/3)^ sf,,
812,not sure… one of them looks a bit shady,,
813,...24th. *tbw 3/3,,
814,dear santa can i get a iphone charger that won't break in less than a week of purchase 😩😫😑😯cc,santa,"[[5, 10]]"
815,c’est réglé ! merci,,
816,i just sent you a private message!,,
817,"have you reported the transaction already, matthew? if not, please give us a call at the phone number provided on the back of the card. for privacy and security reasons, please delete this tweet containing information about the fraud transaction. thanks. ^ tl",matthew,"[[43, 50]]"
818,"...give us a ring? if it is, let us know via dm what you need to do we can give you the best number to contact us on maclaine 2/2",,
819,this shouldn't happen. dm us.,,
820,come check it out!!! *jeremyj,,
821,"hey brandon, help's here! sorry to hear you feel this way. can you send us a screenshot of how things appear on your end? also, can you let us know when this started happening? was it after an app update? we'll be waiting /ch",brandon,"[[4, 11]]"
822,what's going on? please send us a private message with more details of your inquiry for better assistance. - pc,,
823,"please send us a direct message, so that we can further assist you. - gs",,
824,😢 we'd like to help with this amber. have you tried manually selecting another network to see if this helps? dm us more.,,
825,will look into it once i get off work,,
826,aldi! your pumpkins are rubbish. went off within days and got binned,,
827,"missing orders often arrive soon after they are scanned as delivered. you can learn more here: please keep us posted, and let us know if it doesn't arrive tomorrow. ^ cc",,
828,websites...none of which are heavy graphics or videos.,,
829,"hi mujdin, thanks for tweeting. which printer do you use and what is the issue with it? do you get any errors? let me know..1/2",mujdin,"[[3, 9]]"
830,thankyou so much,,
831,what’s going on with flight . been stuck in runway for 1hr. either deplane us or give status.,,
832,"hi martina, you will be called, however please allow them some time as they have to get the deliveries planned for the day. ty andrew","martina, andrew","[[3, 10], [127, 133]]"
833,i see now it’s been changed to the “files” app. thx.,,
834,get your act together. travelling shouldn’t be this hard,,
835,why can’t i just delete all notifications in one go any more?,,
836,thanks! were you able to raise this with a colleague in - store? dan,,
837,"hey joe, what is the issue with the gates? - sean","joe, sean","[[4, 7], [45, 49]]"
838,let's move to dm to get some clarification and proceed with helping you on this today.,,
839,please explain why your staff loaded an aircraft knowing it was faulty and it would take a minimum of 90 minutes to fix,,
840,i've been having a difficult time trying to resolve a double charge on a wrong order. i can't get in touch with anyone!,,
841,are you having issues in specific area? drop us a dm with the postcode and we'll be happy to check it out ⬇,,
842,"dear , i think you might be punking me. or perhaps your algorithms are tired. johann's cool, but has he dropped any tracks lately?",,
843,let's take a look at the performance after your update. which apps or features are you using when it does this? tell us in dm.,,
844,i'm sorry to hear about this situation. did you purchase the gift cards directly from amazon or from a retail store? ^ mi,,
845,"we regret to hear that. we have responded to you dm with the clarification, please your inbox. ^ pk",,
846,"hi santosh, you tweet concerns me. let me look into this and see what best can be done within our scope of support. (1)",santosh,"[[3, 10]]"
847,"hi, glad to hear it. you must be relived!!",,
848,"hey keegan, let's address all of your concerns. send us a dm and we can further assist you :) *channeyt",keegan,"[[4, 10]]"
849,"hi dallas, we apologize for this and our team is aware. they are working diligently to get them addressed as soon as possible. we appreciate your patience.",dallas,"[[3, 9]]"
850,thanks gaz! 🍕,,
851,hi support. my email service provider stopped my email adress. i cant log into my main psn account to change my sub account or set it up on a new system. what do i do now?,,
852,please follow and dm your delta confirmation so i may take a look at your specific flight details. *han,,
853,"hi carys, we're really sorry to hear this. which flight were you on? ^ sam",,
854,what is confusing about the website? we would like to help provide clarity. ^ hsb,,
855,that's what you said yesterday and i still didn't get my package,,
856,is there a way to switch back to the old interface? the new ui for browsing is not intuitive. on,,
857,annoyed as shit. and when i asked to speak with someone else the lady at the gate was very rude and nasty,,
858,"we're trying to help you, laura. if you'll dm us, we can get this fixed. please follow this link: ^ ac",laura,"[[26, 31]]"
859,alright. which version of ios are you experiencing this on? reply in dm so we can gather some more info.,,
860,hi there! we'd like to verify if you have any offer on your account. please send us a dm to further assist you. - bj,,
861,"you've lied to our faces about plan costs, overcharged, and now charged a month after cancellation. go to hell. you too",,
862,"my girlfriend just got into greenville sc her bags went missing again, every time we fly through atl you lose our bags.",,
863,using 11.1 (15b93) 6s. no issue so far except calculator issue been reported on macrumours and on developers beta. please look into it too. i guess apple hasn’t addressed it till yet in 11.1.2.,,
864,ur drivers masturbate very normally whn women r on backseats. other than apologies wht will b ur action..,,
865,this is less than a mile. get it done.,,
866,let's partner together on this. dm us which iphone you have and the exact ios verison installed. we'll go from there.,,
867,great job today . i ordered a chicken bacon sandwich and got buffalo chicken. i ordered ranch dressing with my salad and got french.,,
868,hi dante. are the calls from u.s. numbers? ^ b,dante,"[[3, 8]]"
869,"for a preorder on wwii, the weapons code isn’t working. any advice?",,
870,are accepting tickets if you wish to travel with them. ^ pa,,
871,"we haven't started offering rides in toronto yet, but we'll be sure to let you know as soon as we do!",,
872,was att better or worse then charter spectrum? my buddy has u - verse. zero problems.,,
873,"we're sorry to hear this. we can certainly share this feedback on your behalf. can you dm us your name, zip code &amp; the atm location? ^ rs",,
874,"is your device connected to a good wi - fi or cellular connection? second, let's go to settings &gt; notifications. when apps appear in the list, select one that you'd expect to receive notifications for, for example, messages. is allow notifications enabled for that app?",,
875,hi there. i am terribly sorry for the inconvenience. please try reaching out to our reservations desk at 800 221 1212 for further... 1/2,,
876,this is a serve card. pls call them directly to review your account securely. ^ naomi,,
877,hey why did i just get this text. i'm not roberto and my uber account is already active. wasup wit dat yo!!!!!!!,roberto,"[[42, 49]]"
878,"hey my friend just got this response from one of your hosts, refusing him because he is of vietnamese descent. i am enraged!",,
879,is there a way to buy a extended warranty for a macbook pro bought a couple of weeks ago?,,
880,do i also have your permission to share your details with the supplier? ty - martin 4/4,martin,"[[77, 83]]"
881,we responded to your dm! check your inbox for our message.,,
882,nan,,
883,"hi jerry, can you dm us here on twitter with your reservation code and we can assist you better. we're here to help.",jerry,"[[3, 8]]"
884,"phne lost in u.p., originl sim region karnataka..can't go there for a mnth..need duplicate sim here..no help from service centre",,
885,being a social platform we will not be able to access your amazon account. we have responded to your query (1/2) ^ sc,,
886,"we're happy your luggage was found, barbie. we hope for much smoother travels the next time we have the privilege of welcoming you onboard. ^ lc",,
887,"and no installer will work, again",,
888,done!,,
889,i just received a response. it has been resolved with a full refund. thanks!,,
890,is there a way to reach brussels by email?,,
891,olá sof. já respondimos no dm. obrigado pela sua cooperação. ^ jj,,
892,we're working hard to get krispy kreme to as many people as possible! keep trying.,,
893,"it's amazing how many problems i have had with my iphone 6, starting the same exact day the iphone 8 came out.",,
894,"the order can ship anytime between now and the day of delivery. if you don't receive it by the 24th, please let us know. ^ bh",,
895,so my package finally arrived 2 days late. and someone has opened it... it was despatched on time so who's been poking??,,
896,(1/3) i shop on amazon to get discounted price not to pay price which is more than mrp. i've bought dettol refil pack 1500 ml on,,
897,"filled out complaint, asked for callback - nope. hubs does same - gets callback. is it hispanic names or females you object to?",,
898,my friend and i ordered our happy meals but we never got our bendy straws :((((((,,
899,gifting through xbox live works only within the same country. there may be some options to gift other ways though! tweet us back for details. ^ cw,,
900,can you pleaaaaaase add another transaction option when withdrawing money?,,
901,"hi ali, we've passed this info on to our expert - they will review and get back to you asap. ^ aj",ali,"[[3, 6]]"
902,"hey. i tried to login and it says ""we cannot find an account with that email"". i sent a scam email i got to stop - spoofing",,
903,"trains to/from long buckby are run by london midland, you can contact them via",,
904,"refunds are handled by retailers directly, you would need to return to the point of purchase ^ nm",,
905,so that we can assist you accordingly. (2/2) ^ mo,,
906,誠に恐れ入りますが、詳細についてはご案内することができません。 ym,,
907,"please consider accepting for payments - it’s fast and secure, with low fees! more @",,
908,"good. i hate being glitched and only being able to use default reticle. i still have notifications for unlocking new ones, but they don't appear.",,
909,"it was in the plymouth marsh mills store, i bought in an online shop.",,
910,no - one likes you right now!,,
911,"hi, if you wish for this error to go away you would need to remove any emojis (or special characters) from your track's title./d",,
912,"tried to buy wi - fi on swa200 with a credit card, would not go through. free wi - fi worked fine.",,
913,hola josé. disculpa el inconveniente. en este caso por favor borra el juego e instalalo nuevamente.,,
914,hi samantha. we''ll be more than glad to explain the dd credits. please send us a dm with your email address at .,samantha,"[[3, 11]]"
915,trying to sign up on your app. uk number - same number i've had for 15+yrs &amp; it's saying it's not a valid number,,
916,comprendo. puedes enviar tus comentarios al respecto aquí: ^ lg,,
917,hi double meat chicken burrito is now $9.93. once its goes over $10 i'll have to cut my visits in half. be blessed!,,
918,that's not the case anthony. it all depends on customer profile and tenure. send us a dm for assistance. *jasmines,anthony,"[[20, 27]]"
919,"i'm sorry to hear this! we're here to help! so we can take a closer look into this, could you link us to the item you are referring to? ^ vb",,
920,"sorry to hear about this. please note, demand is high. keep trying to place your order.",,
921,enough with the outages,,
922,do you happen to have their app to verify the login trouble? ^ jra,,
923,i don't want to direct message you. i've been through that route before and get no response once i do and i've contacted the finance department twice with no results after getting promised a refund then denied twice. thanks for taking food off my child's plate.,,
924,"that's quite a remark. apologies for the experience. please be known, to post a review, you need to adhere to the guidelines mentioned here: further, i'll share your comments with internal teams for review. ^ sv",,
925,we realize how important it is to have the coverage you need. please dm us. we're happy to help. *gisellem,,
926,what happened to the ability to drop a draft email down to browse other emails in mail?,,
927,why does this keep popping up whenever i try to update my apple watch ???,,
928,"hey michael, we appreciate your feedback! please send me a dm to chat more about this. *ambersellers",michael,"[[4, 11]]"
929,"please....in our current culture, too slow!",,
930,hi there. is your psn account set to spain as its region? ^ hb,,
931,"our sincerest apologies, dave. be sure to reach out to the local baggage service office, so we can get it back to you asap. ^ rr",dave,"[[25, 29]]"
932,we are on it.^ wo,,
933,"order says ""delivered"" but i didn't receive.",,
934,"can i not pre - schedule a ride in the bentonville, ar area ahead of my trip?",,
935,when you plan your travel so you can just go straight to meetings and one gate agent says the flight is full and only business class passengers can take wheeled bags on. carry on taken away and pretty much everyone else was allowed theirs.,,
936,absolutely . 1 dough ball each!!,,
937,"her legs then proceeded to completely give way, as i said she physically couldnt walk any further, so thanks for that’s",,
938,meybe problem with facebook??? sometimes showing a facebook error has occiored.please try later. ewen if restart phone,,
939,"hi chunhua, we have just responded to your dm with more information. please take a look at your earliest convenience. thank you.",chunhua,"[[3, 10]]"
940,hd and do not have an estimated time frame when this will happen. - ep,,
941,75 percent success is an improvement! hope it keeps going. i get to test that tonight enroute to tpa.,,
942,"oh no, jeff. sorry to hear about this terrible incident. please reach out to our baggage team at (800) 325 8224 so that we start a... 1/2",jeff,"[[7, 11]]"
943,omg i look away for a minute... you guys have stepped up your game!,,
944,new knickers have so much lace on the bum region that when i take them off my derriere will be patterned like a doily.,,
945,thanks spotify 😢👌🏻,,
946,us,,
947,yes i opened a case but your resolution is wait 16 days.,,
948,high sierra 10.13,,
949,glad to help. we sent you a direct message with the instructions.,,
950,"i'm sorry for any trouble. you can check your prime membership status here, and cancel if need be: ^ bl",,
951,hey just had an awesome customer service experience at check in at cvg this morning. one of the most pleasant check ins i’ve ever experienced!,,
952,"thanks so much guys 😃. i'll have to measure that bag and see if it works. fingers crossed 😃. if it doesn't work, i have other purses from my travels 😃",,
953,i just signed up using a referral code however i didn't receive the $50 discount off my first booking?,,
954,"noticed your tweet. can we assist? if so, pls dm us details of concern and your email so we can address accordingly. tnx! ^ gp",,
955,"we're sorry for the experience and kindly note that we're available to help here via twitter and facebook too. just one message away! dm us if there's anything we can assist with, we're here for you.",,
956,i'm due a delivery tomorrow but not 100% sure i'll be in. would you leave with a neighbour if i wasn't in??,,
957,"hey, anoop. let's make sure your active hours are set. this tells us the best times to update your device.",,
958,or even your sprint!!! cause i made the mistake of switching and it sucks!!!!,,
959,and now is claiming they tried to deliver a package today at 4:30 except i was here. now i have to go to se 112th? no.,,
960,"acabo de contactar con ellos, me dicen que lo que diga la empresa de transportes...",,
961,another failed attempt st delivery and the number given by you of the agent incorrect. problems still oresists! shameful,,
962,"still no response on how i was hacked?confirmation of the amount that will be refunded,if account is now safe,why it took over 24h to reply",,
963,"really cheerful and friendly, obvious he cares about each individual customer! cheered me up after a not so great day 😊",,
964,most welcome.^ jm,,
965,hi there! please visit; for more info. please let us know if you have any other questions or concerns.,,
966,we so not know who owns these lines either or - both who provide tv/internet service to the area.,,
967,why is my daily log in bonus only at 3x while most of my other friends have 13x and so on. they’re getting 500+ salvage a day and i’m only getting 390.,,
968,"buenos días andrés. - disculpa la demora en la entrega pero nos consta que has solicitado la recogida en agencia. por favor, confírmanos si es así. de todos modos, te facilito los datos de la agencia: __email__ // tlf. 957430016.",,
969,thank you,,
970,uh when am i getting back? missing out on some shows here,,
971,never flying agains 🖕🏼,,
972,that’s certainly not the quality that we expect either! please dm us with the rec # from your receipt and additional details.,,
973,bjr cmt puis - je annuler une pré - commande de livre numérique? j'ai commandé par inadvertance un livre qui ne sort qu'en janvier,,
974,"i retrieved my line yesterday. everything was working until i migrated to glo bounce. now it's telling my ""your account is deactivated"". my number is 08050861698.",,
975,what the fuck is this? i️,,
976,we can put in an order to remove the adapter from your account and you will get a label that you will have to take to a ups service center to return. ^ tdc,,
977,love it! we haven't heard this before^ bt,,
978,we can certainly fix that. make sure and backup using these steps: then update your iphone to ios version ios 11.1.1 and that should be solved. let us know in dm if those steps don't help.,,
979,due to your lateness a sat arrival 📦 has turned into a tues arrival and even that is “not guaranteed” omg ... ridiculous.,,
980,can i please get a refund for my unused single ticket. trains stopped so early i had to buy a different ticket to get home,,
981,thanks for the update - might be nice to add that to your website. i assumed the perk carried over. was not good being refused.,,
982,really always mess up my orders. i order food everyday and something is always wrong!,,
983,...are files getting deleted from? feel free to have a look at this help center article for more info: 2/2,,
984,all of the ingredients should be listed on the packaging but we can of course check for you. please can you let us know the bar code number of the packaging?,,
985,help please my son just downloaded what he thought was a game and it was a map pack !! can i get a refund so i can re - order?,,
986,"i decided to sign back up to watch , and gotta day, i’m not liking the new roku app. is there anyway to use the old layout? it was more user friendly",,
987,you are welcome. :),,
988,our relevant team will work the gaps experienced for improvements. appreciate your patience. 2/2 ^ mj,,
989,"since the steps haven't made a impact, we'd love to look closer. please reach using chat or phones:",,
990,hi. please can you dm me your query as i'm struggling to understand? sorry :( - chloe,chloe,"[[80, 85]]"
991,i'd like to have a better understanding of your situation. please share more info about what occurred (no account number). i'm here to help. ^ nc,,
992,are you offering an 'elevate your status' skymiles promotion that will go into effect for 2018 travel?,,
993,such a lovely train... such a shame that they can’t open the doors,,
994,welcome to ios 11,,
995,"this is just 2 reviews? i have had every single review removed? i don't understand why? i followed your guidelines, u approved it? ?",,
996,nice try . u know the flaws with ur ios 11.03 update. let us at least dial a 0 from the keypad! this is ridiculous.,,
997,"it's really frustraing to be waiting for a product for more than 3 months, without an answer. i buy the product in your web, not in borderfr",,
998,set every garbage show to record until 2am. only got 30/120 min of a replay on mlb when the guide never updated to reflect it playing too. 😔,,
999,fix this!! once i’m in a party i’m stuck there until i’m removed by someone els. max i can scroll is configure party overlay.,,
